display_name,symbol_name,exchange_id,instrument,underlying_symbol,security_id
USDINR AUG FUT,USDINR,BSE,FUTCUR,USDINR,1026077
GBPINR AUG FUT,GBPINR,BSE,FUTCUR,GBPINR,1026078
EURINR AUG FUT,EURINR,BSE,FUTCUR,EURINR,1026079
JPYINR AUG FUT,JPYINR,BSE,FUTCUR,JPYINR,1026080
EURUSD AUG FUT,EURUSD,BSE,FUTCUR,EURUSD,1026081
GBPUSD AUG FUT,GBPUSD,BSE,FUTCUR,GBPUSD,1026082
USDJPY AUG FUT,USDJPY,BSE,FUTCUR,USDJPY,1026083
USDINR SEP FUT,USDINR,BSE,FUTCUR,USDINR,1029516
GBPINR SEP FUT,GBPINR,BSE,FUTCUR,GBPINR,1029517
EURINR SEP FUT,EURINR,BSE,FUTCUR,EURINR,1029518
JPYINR SEP FUT,JPYINR,BSE,FUTCUR,JPYINR,1029519
EURUSD SEP FUT,EURUSD,BSE,FUTCUR,EURUSD,1029520
GBPUSD SEP FUT,GBPUSD,BSE,FUTCUR,GBPUSD,1029521
USDJPY SEP FUT,USDJPY,BSE,FUTCUR,USDJPY,1029522
USDINR OCT FUT,USDINR,BSE,FUTCUR,USDINR,1034143
GBPINR OCT FUT,GBPINR,BSE,FUTCUR,GBPINR,1034144
EURINR OCT FUT,EURINR,BSE,FUTCUR,EURINR,1034145
JPYINR OCT FUT,JPYINR,BSE,FUTCUR,JPYINR,1034146
EURUSD OCT FUT,EURUSD,BSE,FUTCUR,EURUSD,1034147
GBPUSD OCT FUT,GBPUSD,BSE,FUTCUR,GBPUSD,1034149
USDJPY OCT FUT,USDJPY,BSE,FUTCUR,USDJPY,1034151
USDINR NOV FUT,USDINR,BSE,FUTCUR,USDINR,1038942
GBPINR NOV FUT,GBPINR,BSE,FUTCUR,GBPINR,1038944
EURINR NOV FUT,EURINR,BSE,FUTCUR,EURINR,1038945
JPYINR NOV FUT,JPYINR,BSE,FUTCUR,JPYINR,1038946
EURUSD NOV FUT,EURUSD,BSE,FUTCUR,EURUSD,1038947
GBPUSD NOV FUT,GBPUSD,BSE,FUTCUR,GBPUSD,1038948
USDJPY NOV FUT,USDJPY,BSE,FUTCUR,USDJPY,1038949
USDINR DEC FUT,USDINR,BSE,FUTCUR,USDINR,1048627
GBPINR DEC FUT,GBPINR,BSE,FUTCUR,GBPINR,1048628
EURINR DEC FUT,EURINR,BSE,FUTCUR,EURINR,1048629
JPYINR DEC FUT,JPYINR,BSE,FUTCUR,JPYINR,1048630
EURUSD DEC FUT,EURUSD,BSE,FUTCUR,EURUSD,1048632
GBPUSD DEC FUT,GBPUSD,BSE,FUTCUR,GBPUSD,1048633
USDJPY DEC FUT,USDJPY,BSE,FUTCUR,USDJPY,1048634
USDINR 26 SEP 83.2 CALL,USDINR,BSE,OPTCUR,USDINR,1048641
USDINR 26 SEP 83.2 PUT,USDINR,BSE,OPTCUR,USDINR,1048642
USDINR 26 SEP 83.1 CALL,USDINR,BSE,OPTCUR,USDINR,1048643
USDINR 26 SEP 83.1 PUT,USDINR,BSE,OPTCUR,USDINR,1048644
USDINR 26 SEP 82.9 CALL,USDINR,BSE,OPTCUR,USDINR,1048645
USDINR 26 SEP 82.9 PUT,USDINR,BSE,OPTCUR,USDINR,1048646
USDINR 26 SEP 82.8 CALL,USDINR,BSE,OPTCUR,USDINR,1048647
USDINR 26 SEP 82.8 PUT,USDINR,BSE,OPTCUR,USDINR,1048648
USDINR 26 SEP 82.7 CALL,USDINR,BSE,OPTCUR,USDINR,1048649
USDINR 26 SEP 82.7 PUT,USDINR,BSE,OPTCUR,USDINR,1048650
USDINR 26 SEP 82.6 CALL,USDINR,BSE,OPTCUR,USDINR,1048651
USDINR 26 SEP 82.6 PUT,USDINR,BSE,OPTCUR,USDINR,1048652
USDINR 26 SEP 82.4 CALL,USDINR,BSE,OPTCUR,USDINR,1048653
USDINR 26 SEP 82.4 PUT,USDINR,BSE,OPTCUR,USDINR,1048654
USDINR 26 SEP 82.3 CALL,USDINR,BSE,OPTCUR,USDINR,1048655
USDINR 26 SEP 82.3 PUT,USDINR,BSE,OPTCUR,USDINR,1048656
USDINR 26 SEP 82.2 CALL,USDINR,BSE,OPTCUR,USDINR,1048657
USDINR 26 SEP 82.2 PUT,USDINR,BSE,OPTCUR,USDINR,1048658
USDINR 26 SEP 82.1 CALL,USDINR,BSE,OPTCUR,USDINR,1048659
USDINR 26 SEP 82.1 PUT,USDINR,BSE,OPTCUR,USDINR,1048660
USDINR 26 SEP 81.9 CALL,USDINR,BSE,OPTCUR,USDINR,1048661
USDINR 26 SEP 81.9 PUT,USDINR,BSE,OPTCUR,USDINR,1048662
USDINR 26 SEP 81.8 CALL,USDINR,BSE,OPTCUR,USDINR,1048663
USDINR 26 SEP 81.8 PUT,USDINR,BSE,OPTCUR,USDINR,1048664
USDINR 26 SEP 81.7 CALL,USDINR,BSE,OPTCUR,USDINR,1048665
USDINR 26 SEP 81.7 PUT,USDINR,BSE,OPTCUR,USDINR,1048666
USDINR 26 SEP 81.6 CALL,USDINR,BSE,OPTCUR,USDINR,1048667
USDINR 26 SEP 81.6 PUT,USDINR,BSE,OPTCUR,USDINR,1048668
USDINR 26 SEP 81.4 CALL,USDINR,BSE,OPTCUR,USDINR,1048669
USDINR 26 SEP 81.4 PUT,USDINR,BSE,OPTCUR,USDINR,1048670
USDINR 26 SEP 81.3 CALL,USDINR,BSE,OPTCUR,USDINR,1048671
USDINR 26 SEP 81.3 PUT,USDINR,BSE,OPTCUR,USDINR,1048672
USDINR 26 SEP 81.2 CALL,USDINR,BSE,OPTCUR,USDINR,1048673
USDINR 26 SEP 81.2 PUT,USDINR,BSE,OPTCUR,USDINR,1048674
USDINR 26 SEP 81.1 CALL,USDINR,BSE,OPTCUR,USDINR,1048675
USDINR 26 SEP 81.1 PUT,USDINR,BSE,OPTCUR,USDINR,1048676
USDINR 26 SEP 80.9 CALL,USDINR,BSE,OPTCUR,USDINR,1048677
USDINR 26 SEP 80.9 PUT,USDINR,BSE,OPTCUR,USDINR,1048678
USDINR 26 SEP 80.8 CALL,USDINR,BSE,OPTCUR,USDINR,1048679
USDINR 26 SEP 80.8 PUT,USDINR,BSE,OPTCUR,USDINR,1048680
USDINR 26 SEP 80.7 CALL,USDINR,BSE,OPTCUR,USDINR,1048681
USDINR 26 SEP 80.7 PUT,USDINR,BSE,OPTCUR,USDINR,1048682
USDINR 26 SEP 80.6 CALL,USDINR,BSE,OPTCUR,USDINR,1048683
USDINR 26 SEP 80.6 PUT,USDINR,BSE,OPTCUR,USDINR,1048684
USDINR 26 SEP 80.4 CALL,USDINR,BSE,OPTCUR,USDINR,1048685
USDINR 26 SEP 80.4 PUT,USDINR,BSE,OPTCUR,USDINR,1048686
